id	marque	designation	annee	km	prix
1	renault	VelSatis 2.2 DCI GPS 3D 2006 Carminat	2006	171000	7300
2	renault	Renault laguna 1.9 dci 120 cv initiale 2001	2001	194000	6700
3	alfa romeo	Alfa Romeo GT Q2 2008	2008	37700	20200
4	mini	VOLKSWAGEN PASSAT 2.0 TDI 140ch CONFORTLINE	2009	12500	19490
5	peugeot	Peugeot 307 2.0 l hdi 110 cv serie xt clim 5 ptes	2004	128642	6700
6	peugeot	PEUGEOT 406 Coupé - 2.2L 16V Pack	2003	37500	12000
7	seat	Altea 2.0 tdi 140cv	2005	123500	9500
8	nissan	Peugeot 407 Coupé 2.0L HDI 136cv Féline 9800Kms	2008	9800	26500
9	audi	307 cc super occaz peu km	2005	8700	19500
10	peugeot	Peugeot 407 -2.0 hdi -136 Cvhonda	2004	155000	8900
11	audi	Audi a4 new ambition 2.0 tdi fap	2009	24000	26300
12	renault	"Mégane rs 225cv ""TRES bonne affaire"""	2005	74000	11700
13	renault	VelSatis 2.2 DCI GPS 3D 2006 Carminat	2006	171000	7300
14	renault	Renault laguna 1.9 dci 120 cv initiale 2001	2001	194000	6700
15	mini	"Nissan almera tino ""tekna"""	2005	89000	8800
16	peugeot	307 sw 2.0 hdi pack	2004	106000	8700
17	renault	Renault scenic 2 1.9 dci 120 ch. luxe privilege	2004	121000	7100
18	renault	Renault Espace 2.2 l 150 cv Expression BV6	2003	107000	12000
19	peugeot	Peugeot 807 2.0 hdi 16v confort	2006	135000	12500
20	renault	Laguna II estate 2.2 dci 150 CV	2002	137000	7000
21	renault	Megane cc	2006	75000	12500
22	audi	406 coupé 2.2L HDi 16s pack	2002	80000	9500
23	peugeot	407 2.0l hdi 136cv executive	2005	101000	9200
24	mazda	Mazda rx8 élégance pack	2004	53000	14950
25	lexus	Lexus is 220d pack muktimedia ou echange	2006	39500	20000
26	peugeot	Peugeot 807 2.0 hdi 16v confort	2006	135000	12500
27	renault	Mégane coupé	2000	193000	4100
28	audi	406 coupé 2.2L HDi 16s pack	2002	80000	9500
29	peugeot	407 2.0l hdi 136cv executive	2005	101000	9200
30	ford	Ford mondeo 2.0l di 115	2002	200000	4500
31	citroen	Citroen xsara picasso 2.0 hdi 90 ch exclusive gtie	2003	153000	5990
32	citroen	Citroen xsara picasso 2.0 hdi	2003	141133	6990
33	volkswagen	Volkswagen touran tdi match	2006	101200	13990
34	peugeot	Peugeot 407 sw hdi 2.0 l 136 cv executive dms	2005	114000	8900
35	audi	AUDI A3 S-Line 2.0 TDI 140Ch	2006	63000	19000
36	seat	Seat Altéa 1.9 TDI 105 CV BVMS STYLANCE	2006	66500	10500
37	renault	Megane 2 1.9 DCI 120 expression	2003	146000	6000
38	ford	Ford focus 2.0 tdci 133 cv	2003	129000	7490
39	renault	Renault espace 4 2l2 dci 150cv garantie a voir	2006	97850	11800
40	peugeot	Peugeot 407 SW HDI avec garantie constructeur	2007	78000	14000
41	renault	Renault espace 1.9 DCI 117 CH Confort expression	2006	150000	7600
42	renault	Mégane 2 dci 120 luxe authentique	2003	114000	6900
43	renault	Renault Scenic 2 1.9 DCI 120 cv Exception	2005	108647	7790
44	renault	Mégane 2 dci 120 luxe authentique	2003	114000	6900
45	renault	Renault espace 1.9 DCI 117 CH Confort expression	2006	150000	7600
46	renault	Renault Scenic 2 1.9 DCI 120 cv Exception	2005	108647	7790
47	audi	Superbe SEAT LEON II 2.0L TDI 140 ch	2006	95000	12500
48	renault	Laguna 2 estate 1.9 dci 110 cv Expréssion	2003	123260	6500
49	renault	SCENIC 2 conft expression 1.9 Dci 120cv	2003	161200	6900
50	audi	Audi a4 1.9 tdi 100 cv toute options etat neuf	2002	168000	7700
51	renault	Megane II CC 2.0 dci 150cv Dynamique 2007	2007	35500	15500
52	audi	Audi a3 2.0 tdi	2004	112700	12800
53	opel	Opel Vectra GTS 2.2 DTI 125 cv	2003	157000	6600
54	audi	Audi A3 Sportback 2.0 TDI (140cv ) Ambition	2006	87000	14500
55	alfa romeo	Alfa romeo 156 sw 1.9 jtd 115 cv an. 2004	2004	99300	9000
56	audi	NISSAN PRIMERA 5p 2.2L DCi 138ch Acenta Pack GPS	2006	83653	9990
